ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
205660_at, 210797_s_at	2'-5'-oligoadenylate synthetase like(OASL)	Homo sapiens				GO:0009615~response to virus,GO:0045071~negative regulation of viral genome replication,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,	GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,	GO:0001730~2'-5'-oligoadenylate synthetase activity,GO:0003677~DNA binding,GO:0003725~double-stranded RNA binding,GO:0005524~ATP binding,GO:0016740~transferase activity,GO:0044822~poly(A) RNA binding,GO:0046966~thyroid hormone receptor binding,	IPR000626:Ubiquitin,IPR006116:2-5-oligoadenylate synthetase, N-terminal,IPR006117:2-5-oligoadenylate synthetase, conserved site,IPR018952:2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal,IPR026774:2'-5'-oligoadenylate synthase,				SM00213:UBQ,	3D-structure,Acetylation,Alternative splicing,Antiviral defense,Complete proteome,Cytoplasm,Immunity,Innate immunity,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-binding,	chain:59 kDa 2'-5'-oligoadenylate synthetase- like protein,domain:Ubiquitin-like 1,domain:Ubiquitin-like 2,helix,sequence conflict,sequence variant,splice variant,strand,turn,
39817_s_at, 213871_s_at, 204238_s_at	2'-deoxynucleoside 5'-phosphate N-hydrolase 1(DNPH1)	Homo sapiens				GO:0008283~cell proliferation,GO:0009116~nucleoside metabolic process,GO:0009117~nucleotide metabolic process,GO:0009159~deoxyribonucleoside monophosphate catabolic process,GO:0030307~positive regulation of cell growth,GO:0030855~epithelial cell differentiation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0050144~nucleoside deoxyribosyltransferase activity,GO:0070694~deoxyribonucleoside 5'-monophosphate N-glycosidase activity,	IPR007710:Nucleoside 2-deoxyribosyltransferase,					3D-structure,Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Glycosidase,Hydrolase,Nucleotide metabolism,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,	binding site:Substrate,chain:Deoxyribonucleoside 5'-monophosphate N- glycosidase,modified residue,
202447_at	2,4-dienoyl-CoA reductase 1, mitochondrial(DECR1)	Homo sapiens				GO:0006635~fatty acid beta-oxidation,GO:0051289~protein homotetramerization,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0070062~extracellular exosome,	GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity,GO:0016651~oxidoreductase activity, acting on NAD(P)H,GO:0070402~NADPH binding,	IPR002347:Glucose/ribitol dehydrogenase,IPR016040:NAD(P)-binding domain,					3D-structure,Acetylation,Alternative splicing,Complete proteome,Fatty acid metabolism,Lipid metabolism,Mitochondrion,NADP,Oxidoreductase,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transit peptide,	active site:Proton acceptor,binding site:NAD,binding site:Substrate,chain:2,4-dienoyl-CoA reductase, mitochondrial,helix,modified residue,nucleotide phosphate-binding region:NADP,sequence conflict,sequence variant,strand,transit peptide:Mitochondrion,turn,
219664_s_at	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)	Homo sapiens				GO:0006636~unsaturated fatty acid biosynthetic process,GO:0044255~cellular lipid metabolic process,GO:0055114~oxidation-reduction process,	GO:0005778~peroxisomal membrane,	GO:0005102~receptor binding,GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity,GO:0019166~trans-2-enoyl-CoA reductase (NADPH) activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR016040:NAD(P)-binding domain,	hsa04146:Peroxisome,				3D-structure,Acetylation,Alternative splicing,Complete proteome,Fatty acid metabolism,Lipid metabolism,NADP,Oxidoreductase,Peroxisome,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Peroxisomal 2,4-dienoyl-CoA reductase,modified residue,nucleotide phosphate-binding region:NADP,short sequence motif:Microbody targeting signal,splice variant,
212500_at, 212502_at	2-aminoethanethiol dioxygenase(ADO)	Homo sapiens				GO:0000098~sulfur amino acid catabolic process,GO:0055114~oxidation-reduction process,	GO:0005739~mitochondrion,GO:0005829~cytosol,	GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0046872~metal ion binding,GO:0047800~cysteamine dioxygenase activity,	IPR011051:RmlC-like cupin domain,IPR012864:Cysteamine dioxygenase,IPR014710:RmlC-like jelly roll fold,	hsa00430:Taurine and hypotaurine metabolism,hsa01100:Metabolic pathways,				Complete proteome,Dioxygenase,Iron,Metal-binding,Oxidoreductase,Polymorphism,Reference proteome,	chain:2-aminoethanethiol dioxygenase,sequence variant,
221090_s_at	2-oxoglutarate and iron dependent oxygenase domain containing 1(OGFOD1)	Homo sapiens				GO:0006449~regulation of translational termination,GO:0008283~cell proliferation,GO:0018126~protein hydroxylation,GO:0019511~peptidyl-proline hydroxylation,GO:0034063~stress granule assembly,GO:0055114~oxidation-reduction process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0010494~cytoplasmic stress granule,	GO:0005506~iron ion binding,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0016706~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,GO:0031418~L-ascorbic acid binding,GO:0031543~peptidyl-proline dioxygenase activity,GO:0031544~peptidyl-proline 3-dioxygenase activity,	IPR005123:Oxoglutarate/iron-dependent dioxygenase,IPR006620:Prolyl 4-hydroxylase, alpha subunit,IPR019601:Oxoglutarate/iron-dependent oxygenase, C-terminal degradation domain,				SM00702:P4Hc,	3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Dioxygenase,Iron,Metal-binding,Nucleus,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Vitamin C,	binding site:2-oxoglutarate,chain:2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1,domain:Fe2OG dioxygenase,metal ion-binding site:Iron,sequence conflict,sequence variant,splice variant,
219245_s_at, 219246_s_at, 44617_at	2-oxoglutarate and iron dependent oxygenase domain containing 2(OGFOD2)	Homo sapiens				GO:0055114~oxidation-reduction process,		GO:0005506~iron ion binding,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0031418~L-ascorbic acid binding,GO:0051213~dioxygenase activity,	IPR005123:Oxoglutarate/iron-dependent dioxygenase,IPR006620:Prolyl 4-hydroxylase, alpha subunit,				SM00702:P4Hc,	Alternative splicing,Complete proteome,Dioxygenase,Iron,Metal-binding,Oxidoreductase,Proteomics identification,Reference proteome,Vitamin C,	binding site:2-oxoglutarate,chain:2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,domain:Fe2OG dioxygenase,metal ion-binding site:Iron,sequence conflict,splice variant,
219254_at, 64438_at, 53071_s_at	2-oxoglutarate and iron dependent oxygenase domain containing 3(OGFOD3)	Homo sapiens				GO:0055114~oxidation-reduction process,	GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0005506~iron ion binding,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0031418~L-ascorbic acid binding,GO:0051213~dioxygenase activity,	IPR005123:Oxoglutarate/iron-dependent dioxygenase,IPR006620:Prolyl 4-hydroxylase, alpha subunit,				SM00702:P4Hc,	Alternative splicing,Complete proteome,Dioxygenase,Glycoprotein,Iron,Membrane,Metal-binding,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,Vitamin C,	chain:PKHD domain-containing transmembrane protein C17orf101,domain:Fe2OG dioxygenase,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Iron,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
200862_at	24-dehydrocholesterol reductase(DHCR24)	Homo sapiens				GO:0006695~cholesterol biosynthetic process,GO:0006915~apoptotic process,GO:0006979~response to oxidative stress,GO:0007050~cell cycle arrest,GO:0007265~Ras protein signal transduction,GO:0008104~protein localization,GO:0008285~negative regulation of cell proliferation,GO:0009725~response to hormone,GO:0009888~tissue development,GO:0030539~male genitalia development,GO:0031639~plasminogen activation,GO:0033489~cholesterol biosynthetic process via desmosterol,GO:0033490~cholesterol biosynthetic process via lathosterol,GO:0042987~amyloid precursor protein catabolic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043588~skin development,GO:0055114~oxidation-reduction process,GO:0061024~membrane organization,GO:1901214~regulation of neuron death,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0000246~delta24(24-1) sterol reductase activity,GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0019899~enzyme binding,GO:0042605~peptide antigen binding,GO:0050614~delta24-sterol reductase activity,GO:0050660~flavin adenine dinucleotide binding,	IPR006094:FAD linked oxidase, N-terminal,IPR016166:FAD-binding, type 2,IPR016169:CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2,	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,	602398~Desmosterolosis,			Alternative splicing,Cholesterol biosynthesis,Cholesterol metabolism,Complete proteome,Disease mutation,Endoplasmic reticulum,FAD,Flavoprotein,Golgi apparatus,Lipid biosynthesis,Lipid metabolism,Membrane,NADP,Oxidoreductase,Proteomics identification,Reference proteome,Signal,Steroid biosynthesis,Steroid metabolism,Sterol biosynthesis,Sterol metabolism,Transmembrane,Transmembrane helix,	chain:24-dehydrocholesterol reductase,domain:FAD-binding PCMH-type,modified residue,nucleotide phosphate-binding region:FAD,sequence variant,signal peptide,site:Cleavage; by caspase,transmembrane region,
219391_at	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)	Homo sapiens				GO:0006139~nucleobase-containing compound metabolic process,GO:0007399~nervous system development,GO:0016311~dephosphorylation,GO:0046854~phosphatidylinositol phosphorylation,GO:0050427~3'-phosphoadenosine 5'-phosphosulfate metabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0000287~magnesium ion binding,GO:0008441~3'(2'),5'-bisphosphate nucleotidase activity,	IPR000760:Inositol monophosphatase,IPR020550:Inositol monophosphatase, conserved site,IPR020583:Inositol monophosphatase, metal-binding site,	hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,				3D-structure,Acetylation,Alternative splicing,Complete proteome,Hydrolase,Lithium,Magnesium,Metal-binding,Phosphoprotein,Proteomics identification,Reference proteome,	binding site:Substrate,chain:3'(2'),5'-bisphosphate nucleotidase 1,helix,metal ion-binding site:Magnesium 1,metal ion-binding site:Magnesium 1; via carbonyl oxygen,metal ion-binding site:Magnesium 2,modified residue,region of interest:Substrate binding,sequence conflict,splice variant,strand,turn,
